params,AR,VR
SUS,99,82
SUS,98,78
SUS,91,79
SUS,99,78
SUS,83,56
SUS,89,100
SUS,98,98
SUS,53,97
SUS,74,82
SUS,48,95
SUS,99,100
SUS,88,77
SUS,87,72
SUS,67,92
SUS,95,81
SUS,74,92
SUS,88,55
SUS,81,72
SUS,95,75
SUS,72,91
SUS,69,99
SUS,100,98
SUS,84,78
SUS,77,66
SUS,79,76
SUS,87,68
SUS,70,93
SUS,78,96
SUS,50,94
SUS,86,99
SUS,52,67
SUS,99,77
SUS,60,70
SUS,96,68
SUS,78,93
SUS,100,89
SUS,96,99
SUS,99,83
SUS,67,78
SUS,100,76
SUS,95,75
SUS,47,99
SUS,56,55
SUS,62,68
SUS,88,96
SUS,54,52
SUS,98,56
SUS,45,92
