qus,cond,value
Q1,NS,1
Q1,MS,3
Q1,GS,5
Q1,AS,0
Q2,NS,2
Q2,MS,3
Q2,GS,4
Q2,AS,0
Q3,NS,0
Q3,MS,4
Q3,GS,5
Q3,AS,0
Q4,NS,2
Q4,MS,2
Q4,GS,4
Q4,AS,1
Q5,NS,2
Q5,MS,0
Q5,GS,6
Q5,AS,1
Q6,NS,1
Q6,MS,1
Q6,GS,3
Q6,AS,4
