grp,id,params,role,conditions,score
,,Realism,AR,GS,6
,,Realism,AR,GS,7
,3,General Presence,VR,GS,6
,,Spatial Presence,VR,GS,4
,,Spatial Presence,VR,GS,6
,,Spatial Presence,VR,GS,7
,,Spatial Presence,VR,GS,5
,,Spatial Presence,VR,GS,4
,,Involvement,VR,GS,4
,,Involvement,VR,GS,3
,,Realism,VR,GS,3
,,Realism,VR,GS,4
,1,General Presence,VR,AS,5
,,Spatial Presence,VR,AS,5
,,Spatial Presence,VR,AS,3
,,Spatial Presence,VR,AS,6
,,Spatial Presence,VR,AS,3
,,Spatial Presence,VR,AS,3
,,Involvement,VR,AS,3
,,Involvement,VR,AS,5
,,Realism,VR,AS,3
,,Realism,VR,AS,4
,2,General Presence,AR,AS,7
,,Spatial Presence,AR,AS,6
,,Spatial Presence,AR,AS,5
,,Spatial Presence,AR,AS,7
,,Spatial Presence,AR,AS,7
,,Spatial Presence,AR,AS,5
,,Involvement,AR,AS,5
,,Involvement,AR,AS,4
,,Realism,AR,AS,4
,,Realism,AR,AS,6
,3,General Presence,VR,AS,3
,,Spatial Presence,VR,AS,3
,,Spatial Presence,VR,AS,3
,,Spatial Presence,VR,AS,6
,,Spatial Presence,VR,AS,6
,,Spatial Presence,VR,AS,4
,,Involvement,VR,AS,6
,,Involvement,VR,AS,2
,,Realism,VR,AS,6
,,Realism,VR,AS,4
8,1,General Presence,VR,NS,6
,,Spatial Presence,VR,NS,4
,,Spatial Presence,VR,NS,6
,,Spatial Presence,VR,NS,7
,,Spatial Presence,VR,NS,7
,,Spatial Presence,VR,NS,6
,,Involvement,VR,NS,4
,,Involvement,VR,NS,6
,,Realism,VR,NS,7
