qus,cond,value
Q1,NS,8
Q1,MS,1
Q1,GS,6
Q1,AS,3
Q2,NS,1
Q2,MS,9
Q2,GS,5
Q2,AS,3
Q3,NS,4
Q3,MS,5
Q3,GS,8
Q3,AS,1
Q4,NS,0
Q4,MS,4
Q4,GS,12
Q4,AS,2
Q5,NS,1
Q5,MS,3
Q5,GS,10
Q5,AS,4
Q6,NS,1
Q6,MS,3
Q6,GS,7
Q6,AS,7
