Q1,NS,MS,GS,AS
VR,1,6,8,3
AR,1,3,5,0
Q2,NS,MS,GS,AS
VR,1,9,5,3
AR,2,3,4,0
Q3,NS,MS,GS,AS
VR,4,5,8,1
AR,0,4,5,0
Q4,NS,MS,GS,AS
VR,0,4,12,2
AR,2,2,4,1
Q5,NS,MS,GS,AS
VR,1,3,10,4
AR,2,0,6,1
Q6,NS,MS,GS,AS
VR,1,3,8,6
AR,1,1,3,4
