,1,2,3,4,5,6,7
a,0,1,1,2,2,1,0
b,0,0,0,1,1,2,3
c,0,0,1,1,2,3,0

 a,1,1,1,2,0,0,1
 b,0,0,0,0,0,3,4
 c,0,0,1,2,3,1,0

  a,1,1,1,3,1,0,0
  b,0,0,0,0,0,4,3
  c,0,0,0,0,3,2,2

    a,0,1,1,2,3,0,0
    b,0,0,0,0,1,2,4
    c,0,0,1,1,2,3,0
