group,user,role,conditions,Q1. Would use system frequently?,Q2. System unnecessarily complex?,Q3. System easy to use?,Q4. Need technical support?,Q5. Functions well integrated?,Q6. System inconsistent?,Q7. Quick to learn system?,Q8. System cumbersome to use?,Q9. Confident using system?,Q10. Steep learning curve?,sus_score,mean,median,std
,2,VR,C3,5,1,4,2,5,1,5,2,5,1,92.5,92.5,TRUE,
,3,AR,C3,4,3,5,2,5,2,4,2,5,2,80,80,TRUE,
,4,AR,C3,4,3,4,2,4,2,5,1,5,2,80,80,TRUE,
8,1,VR,C1,3,4,3,3,4,3,5,4,5,4,55,,,
,2,VR,C1,3,3,3,2,4,3,5,3,5,4,62.5,,,
,3,AR,C1,3,4,3,3,4,3,5,4,5,4,55,,,
,4,AR,C1,3,4,3,3,4,3,5,4,5,4,55,,,
,1,VR,C2,5,4,4,2,5,2,4,2,4,3,72.5,,,
,2,VR,C2,5,2,3,2,5,2,2,2,3,3,67.5,,,
,3,AR,C2,4,2,4,2,4,2,4,2,4,2,75,,,
,4,AR,C2,5,2,3,1,3,2,4,1,4,1,80,,,
,1,VR,C3,4,2,5,2,4,2,4,1,4,2,80,80,TRUE,
,2,VR,C3,4,2,4,2,5,2,4,2,5,2,80,80,TRUE,
,3,AR,C3,4,2,4,2,5,2,5,2,5,1,85,85,TRUE,
,4,AR,C3,5,2,4,2,4,2,5,1,5,2,85,85,TRUE,
9,1,VR,C1,4,4,1,2,4,4,1,2,1,2,42.5,,,
,2,VR,C1,5,4,5,4,5,4,5,4,5,4,62.5,,,
,3,AR,C1,5,4,1,2,4,4,3,2,3,2,55,,,
,4,AR,C1,4,3,3,4,4,5,5,3,4,3,55,,,
,1,VR,C2,5,2,3,1,4,2,4,1,4,1,82.5,,,
,2,VR,C2,5,2,3,1,3,2,3,2,3,2,70,,,
,3,AR,C2,5,3,3,1,5,2,4,1,4,2,80,,,
,4,AR,C2,4,3,4,2,4,4,4,3,4,2,65,,,
,1,VR,C3,4,2,5,2,4,2,5,1,5,2,85,85,TRUE,
,2,VR,C3,5,1,4,2,5,2,4,2,4,3,80,80,TRUE,
,3,AR,C3,5,2,4,1,3,2,4,1,4,1,82.5,82.5,TRUE,
,4,AR,C3,4,3,4,2,5,2,4,2,5,2,77.5,77.5,TRUE,
