"","label","qus","x","y","x1","x2","y1","y2","xstar","ystar","lab"
"1","*","q1",2.5,36.6,3,2,36,36.5,1,38,"*"
"2","","q2",0,0,0,0,0,0,1,38,""
"3","**","q3",1.5,36.6,2,1,36,36.5,2,38,"**"
"4","","q4",0,0,0,0,0,0,0,0,""
"5","","q5",0,0,0,0,0,0,0,0,""
