params,vrar,score
mental,vr,24
physical,vr,35
temporal,vr,25
performance,vr,36
effort,vr,23
frustration,vr,33
overall,vr,25.54
mental,ar,35
physical,ar,25
temporal,ar,33
performance,ar,23
effort,ar,22
frustration,ar,36
overall,ar,28.33
mental,vr,12
physical,vr,21
temporal,vr,34
performance,vr,20
effort,vr,13
frustration,vr,31
overall,vr,21.87
mental,ar,21
physical,ar,22
temporal,ar,10
performance,ar,23
effort,ar,33
frustration,ar,21
overall,ar,34.66
